# =============================================================================
# givenname_f_freq.csv - Frequency table for female given names
#
# Sources: - Compiled from various web sites
#
# Last update: 11/04/2002, Peter Christen
# =============================================================================

# =============================================================================
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
# =============================================================================

taylor,3
taylor-saige,1
teagan,3
teaha,1
teal,1
teegan,1
tegan,1
teileah,1
teneille,1
tenille,1
teresa,1
tess,2
tia,1
tiahana,1
tiahnee,1
tiana,3
tiarna,3
tiffany,1
timara,1
tori,1
trinity,1
tuscany,1
tylah,1
tyler,1
vanessa,3
vendula,1
vianca,1
victoria,3
willow,1
xani,1
xanthe,1
yana,1
yasmin,3
ysobel,1
zali,3
zara,2
zarlia,1
zoe,4
