#first name,count
CANTRELL,140
FULTON,140
LYNN,140
LOTT,140
CALDERON,140
ROSA,140
POLLARD,140
HOOPER,140
BURCH,140
MULLEN,140
FRY,140
RIDDLE,140
LEVY,140
DAVID,140
DUKE,140
ODONNELL,140
GUY,140
MICHAEL,140
BRITT,140
FREDERICK,140
DAUGHERTY,140
BERGER,140
DILLARD,140
ALSTON,140
JARVIS,140
FRYE,140
RIGGS,140
CHANEY,140
ODOM,130
DUFFY,130
FITZPATRICK,130
VALENZUELA,130
MERRILL,130
MAYER,130
ALFORD,130
MCPHERSON,130
ACEVEDO,130
DONOVAN,130
BARRERA,130
ALBERT,130
COTE,130
REILLY,130
COMPTON,130
RAYMOND,130
MOONEY,130
MCGOWAN,130
CRAFT,130
CLEVELAND,130
CLEMONS,130
WYNN,130
NIELSEN,130
BAIRD,130
STANTON,130
SNIDER,130
ROSALES,130
BRIGHT,130
WITT,130
STUART,130
HAYS,130
HOLDEN,130
RUTLEDGE,130
KINNEY,130
CLEMENTS,130
CASTANEDA,130
SLATER,130
HAHN,130
EMERSON,130
CONRAD,130
BURKS,130
DELANEY,130
PATE,130
LANCASTER,130
SWEET,130
JUSTICE,130
TYSON,130
SHARPE,130
WHITFIELD,130
TALLEY,130
MACIAS,130
IRWIN,130
BURRIS,130
RATLIFF,130
MCCRAY,130
MADDEN,130
KAUFMAN,130
BEACH,130
GOFF,130
CASH,130
BOLTON,130
MCFADDEN,130
LEVINE,130
GOOD,130
BYERS,130
KIRKLAND,130
KIDD,130
WORKMAN,130
CARNEY,130
DALE,130
MCLEOD,130
HOLCOMB,130
ENGLAND,130
FINCH,130
HEAD,120
BURT,120
HENDRIX,120
SOSA,120
HANEY,120
FRANKS,120
SARGENT,120
NIEVES,120
DOWNS,120
RASMUSSEN,120
BIRD,120
HEWITT,120
LINDSAY,120
LE,120
FOREMAN,120
VALENCIA,120
ONEIL,120
DELACRUZ,120
VINSON,120
DEJESUS,120
HYDE,120
FORBES,120
GILLIAM,120
GUTHRIE,120
WOOTEN,120
HUBER,120
BARLOW,120
BOYLE,120
MCMAHON,120
BUCKNER,120
ROCHA,120
PUCKETT,120
LANGLEY,120
KNOWLES,120
COOKE,120
VELAZQUEZ,120
WHITLEY,120
NOEL,120
VANG,120
SHEA,120
ROUSE,120
HARTLEY,120
MAYFIELD,120
ELDER,120
RANKIN,120
HANNA,120
COWAN,120
LUCERO,120
ARROYO,120
SLAUGHTER,120
HAAS,120
OCONNELL,120
MINOR,120
KENDRICK,120
SHIRLEY,120
KENDALL,120
BOUCHER,120
ARCHER,120
BOGGS,120
ODELL,120
DOUGHERTY,120
ANDERSEN,120
NEWELL,120
CROWE,120
WANG,120
FRIEDMAN,120
BLAND,120
SWAIN,120
HOLLEY,120
FELIX,120
PEARCE,120
CHILDS,120
YARBROUGH,120
GALVAN,120
PROCTOR,120
MEEKS,120
LOZANO,120
MORA,120
RANGEL,120
BACON,120
VILLANUEVA,120
SCHAEFER,120
ROSADO,120
HELMS,120
BOYCE,120
GOSS,120
STINSON,110
SMART,110
LAKE,110
IBARRA,110
HUTCHINS,110
COVINGTON,110
REYNA,110
GREGG,110
WERNER,110
CROWLEY,110
HATCHER,110
MACKEY,110
BUNCH,110
WOMACK,110
POLK,110
JAMISON,110
DODD,110
CHILDRESS,110
CHILDERS,110
CAMP,110
VILLA,110
DYE,110
SPRINGER,110
MAHONEY,110
DAILEY,110
BELCHER,110
LOCKHART,110
GRIGGS,110
COSTA,110
CONNOR,110
BRANDT,110
WINTER,110
WALDEN,110
MOSER,110
TRACY,110
TATUM,110
MCCANN,110
AKERS,110
LUTZ,110
PRYOR,110
LAW,110
OROZCO,110
MCALLISTER,110
LUGO,110
DAVIES,110
SHOEMAKER,110
MADISON,110
RUTHERFORD,110
NEWSOME,110
MAGEE,110
CHAMBERLAIN,110
BLANTON,110
SIMMS,110
GODFREY,110
FLANAGAN,110
CRUM,110
CORDOVA,110
ESCOBAR,110
DOWNING,110
SINCLAIR,110
DONAHUE,110
KRUEGER,110
MCGINNIS,110
GORE,110
FARRIS,110
WEBBER,110
CORBETT,110
ANDRADE,110
STARR,110
LYON,110
YODER,110
HASTINGS,110
MCGRATH,110
SPIVEY,110
KRAUSE,110
HARDEN,110
CRABTREE,110
KIRKPATRICK,110
